scope,factor,factor_column,blockchain,level,metric,statistic,aggregation,total_configuration_cells,contributing_configuration_cells,metric_observations,minimum_n_metric,maximum_n_metric,point_estimate,ci_lower,ci_upper
six_workloads,workload,workload,Algorand,VISA,tps_positive_commit,sample_std_pct,mean,10,10,130,13,13,7.069040950810974,5.780975701043193,7.505066618035226
six_workloads,workload,workload,Algorand,VISA,tps_positive_commit,sample_std_pct,median,10,10,130,13,13,6.727468381642435,4.541726656194964,7.455114482020685
six_workloads,workload,workload,Diem,DDoS,tps_positive_commit,iqr_pct,mean,10,10,136,10,20,25.668512044899614,18.42306390933447,30.707746378424588
six_workloads,workload,workload,Diem,DDoS,tps_positive_commit,iqr_pct,median,10,10,136,10,20,12.950157955046329,11.337691150398229,23.312458124012622
six_workloads,workload,workload,Diem,DDoS,tps_positive_commit,sample_std_pct,mean,10,10,136,10,20,18.090329031753974,15.499011176994102,19.128908159976664
six_workloads,workload,workload,Diem,DDoS,tps_positive_commit,sample_std_pct,median,10,10,136,10,20,12.895631421139788,10.578284353507934,15.54994434160427
six_workloads,workload,workload,Diem,FIFA,tps_positive_commit,iqr_pct,mean,10,10,132,9,21,40.64575997633347,31.42374859168747,56.374840109800175
six_workloads,workload,workload,Diem,FIFA,tps_positive_commit,iqr_pct,median,10,10,132,9,21,43.44470613313614,26.377653299916577,56.07242552582816
six_workloads,workload,workload,Diem,FIFA,tps_positive_commit,sample_std_pct,mean,10,10,132,9,21,39.3837594595364,32.096927476854205,41.814260294431584
six_workloads,workload,workload,Diem,FIFA,tps_positive_commit,sample_std_pct,median,10,10,132,9,21,39.12275384160398,29.873297341684385,44.02861675562956
six_workloads,workload,workload,Diem,GAFAM,tps_positive_commit,iqr_pct,mean,10,10,136,10,19,10.65638473313025,6.588029918883776,18.289184921104354
six_workloads,workload,workload,Diem,GAFAM,tps_positive_commit,iqr_pct,median,10,10,136,10,19,9.02762686368726,1.2356712969064807,13.320594257148011
six_workloads,workload,workload,Diem,GAFAM,tps_positive_commit,sample_std_pct,mean,10,10,136,10,19,12.320704334527933,8.366434753483128,14.152095994936047
six_workloads,workload,workload,Diem,GAFAM,tps_positive_commit,sample_std_pct,median,10,10,136,10,19,11.64926176006871,5.603410228058157,13.304062101176603
six_workloads,workload,workload,Diem,Gaming,tps_positive_commit,iqr_pct,mean,10,10,139,10,25,40.338114798834496,27.52411647480468,49.11412144529336
six_workloads,workload,workload,Diem,Gaming,tps_positive_commit,iqr_pct,median,10,10,139,10,25,38.96666088659917,20.470761108603433,51.04464766698441
six_workloads,workload,workload,Diem,Gaming,tps_positive_commit,sample_std_pct,mean,10,10,139,10,25,31.0794288194841,25.40530007947831,33.533561390014206
six_workloads,workload,workload,Diem,Gaming,tps_positive_commit,sample_std_pct,median,10,10,139,10,25,32.93904189192568,23.314872007266562,35.023217422560116
six_workloads,workload,workload,Diem,PayPal,tps_positive_commit,iqr_pct,mean,10,10,142,11,23,2.158276075922773,1.3890516330185372,4.319038176105065
six_workloads,workload,workload,Diem,PayPal,tps_positive_commit,iqr_pct,median,10,10,142,11,23,1.6762838319555429,0.6796953554534783,1.87984969958479
