blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,metric,statistic,n_metric,point_estimate,ci_lower,ci_upper
Diem,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,12,30.449872306987103,7.1529725760174045,51.02218752246839
Diem,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,12,21.995457334053217,14.099542006245205,27.60732086119658
Diem,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,0.12311771948100447,0.0,6.279298209371046
Diem,full mesh,GAFAM,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,7.076574728470923,0.05378813795657316,11.319086832325015
Diem,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,52.41655540720961,23.895877792453078,94.96959308544616
Diem,full mesh,Gaming,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,44.589561214356266,27.188039572754896,57.65951001728657
Diem,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,12,14.695747001090526,5.672500991508782,41.44493096858444
Diem,full mesh,Gaming,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,12,16.960436162364733,6.047386678537766,24.344792529116734
Diem,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,0.252869091616417,0.0505797214224689,0.35415484935618063
Diem,full mesh,PayPal,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,0.15776088384354425,0.10026758029780508,0.19314434526610558
Diem,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,iqr_pct,13,3.5561180745519065,0.9508697005275211,4.80278315619462
Diem,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,tps_positive_commit,sample_std_pct,13,2.360404112246847,1.3979970304521805,2.980651907046766
Diem,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,iqr_pct,13,13.75018331133597,3.486182649652842,28.387771514822035
Diem,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,tps_positive_commit,sample_std_pct,13,12.581983786016735,7.742376821920986,15.691435141774177
