blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_submitted,n_positive_commit,n_zero_commit,n_no_submission,n_inconsistent,n_tps_valid,n_tps_censored,n_tps_point_valid,n_latency_valid,n_energy_valid_observed,n_energy_valid_positive_commit,n_network_valid_observed,service_regime_derived,panel_row,panel_column,matrix_row,matrix_column,display_count
Diem,full mesh,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,1,1,4,13/0/0
Diem,full mesh,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,1,5,13/0/0
Diem,full mesh,VISA,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,1,1,5,12/0/0
Diem,hypercube,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,2,0,13/0/0
Diem,hypercube,DDoS,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,1,2,0,12/0/0
Diem,hypercube,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,2,1,13/0/0
Diem,hypercube,FIFA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit,1,1,2,1,9/0/0
Diem,hypercube,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,2,3,13/0/0
Diem,hypercube,GAFAM,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit,1,1,2,3,10/0/0
Diem,hypercube,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,2,2,13/0/0
Diem,hypercube,Gaming,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit,1,1,2,2,10/0/0
Diem,hypercube,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,2,4,13/0/0
Diem,hypercube,PayPal,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,1,1,2,4,11/0/0
Diem,hypercube,VISA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,0,2,5,12/0/0
Diem,hypercube,VISA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit,1,1,2,5,9/0/0
Diem,scale-free,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,3,0,13/0/0
Diem,scale-free,DDoS,8,16,10,2023,hop,40 nodes,0,19,19,18,1,0,0,18,0,18,18,19,18,19,mixed_outcomes,1,1,3,0,18/1/0
Diem,scale-free,FIFA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,0,3,1,12/0/0
Diem,scale-free,FIFA,8,16,10,2023,hop,40 nodes,0,18,18,18,0,0,0,18,0,18,18,18,18,18,all_positive_commit,1,1,3,1,18/0/0
Diem,scale-free,GAFAM,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,1,0,3,3,14/0/0
Diem,scale-free,GAFAM,8,16,10,2023,hop,40 nodes,0,16,16,16,0,0,0,16,0,16,16,16,16,16,all_positive_commit,1,1,3,3,16/0/0
Diem,scale-free,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,3,2,13/0/0
Diem,scale-free,Gaming,8,16,10,2023,hop,40 nodes,0,17,17,17,0,0,0,17,0,17,17,17,17,17,all_positive_commit,1,1,3,2,17/0/0
Diem,scale-free,PayPal,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,3,4,13/0/0
Diem,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit,1,1,3,4,19/0/0
Diem,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,0,3,5,12/0/0
Diem,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,19,19,19,0,0,0,19,0,19,19,19,19,19,all_positive_commit,1,1,3,5,19/0/0
Diem,torus,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,4,0,13/0/0
Diem,torus,DDoS,8,16,10,2023,hop,40 nodes,0,10,10,10,0,0,0,10,0,10,10,10,10,10,all_positive_commit,1,1,4,0,10/0/0
Diem,torus,FIFA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,4,1,13/0/0
Diem,torus,FIFA,8,16,10,2023,hop,40 nodes,0,9,9,9,0,0,0,9,0,9,9,9,9,9,all_positive_commit,1,1,4,1,9/0/0
Diem,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,4,3,13/0/0
Diem,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,1,4,3,13/0/0
Diem,torus,Gaming,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,0,4,2,12/0/0
Diem,torus,Gaming,8,16,10,2023,hop,40 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,1,1,4,2,11/0/0
Diem,torus,PayPal,8,16,10,2023,hop,10 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,0,4,4,12/0/0
Diem,torus,PayPal,8,16,10,2023,hop,40 nodes,0,12,12,12,0,0,0,12,0,12,12,12,12,12,all_positive_commit,1,1,4,4,12/0/0
Diem,torus,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,0,4,5,13/0/0
Diem,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,1,1,4,5,13/0/0
Ethereum,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,0,0,13/0/0
Ethereum,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,0,0,13/0/0
Ethereum,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,2,0,0,1,14/0/0
Ethereum,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,0,1,13/0/0
Ethereum,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,0,3,13/0/0
Ethereum,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,0,3,13/0/0
Ethereum,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,0,2,13/0/0
Ethereum,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,0,2,13/0/0
Ethereum,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,14,14,14,0,0,0,14,0,14,14,14,14,14,all_positive_commit,2,0,0,4,14/0/0
Ethereum,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,0,4,13/0/0
Ethereum,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,0,0,5,13/0/0
Ethereum,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,13,13,13,0,0,0,13,0,13,13,13,13,13,all_positive_commit,2,1,0,5,13/0/0
Ethereum,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,11,11,11,0,0,0,11,0,11,11,11,11,11,all_positive_commit,2,0,1,0,11/0/0
